ID,Log,logDate,logDuration,logClass,success,bossNameID
149,https://dps.report/wHX6-20210912-161815_skor,2021-09-12 14:17:05,69.37,1,0,3
154,https://dps.report/JjUB-20210913-172630_skor,2021-09-13 15:25:52,35.456,1,0,3
155,https://dps.report/BRo0-20210913-180924_skor,2021-09-13 16:07:55,76.623,0,1,3
156,https://dps.report/Yyk7-20210913-180543_skor,2021-09-13 16:04:28,72.87,1,0,3
157,https://dps.report/TxhZ-20210913-180724_skor,2021-09-13 16:06:08,73.486,1,0,3
158,https://dps.report/RSxB-20210913-180338_skor,2021-09-13 16:02:18,76.991,1,0,3
159,https://dps.report/XZTg-20210913-180040_skor,2021-09-13 15:59:20,77.438,1,0,3
160,https://dps.report/FqD3-20210913-175511_skor,2021-09-13 15:53:56,72.572,0,0,3
161,https://dps.report/d2rV-20210913-175734_skor,2021-09-13 15:56:05,76.796,1,1,3
162,https://dps.report/oaYb-20210913-175315_skor,2021-09-13 15:52:02,70.966,1,0,3
163,https://dps.report/X977-20210913-175029_skor,2021-09-13 15:49:12,73.895,1,0,3
164,https://dps.report/4j8S-20210913-174612_skor,2021-09-13 15:45:32,37.664,0,0,3
165,https://dps.report/W1RQ-20210913-174825_skor,2021-09-13 15:47:08,74.764,0,0,3
166,https://dps.report/rYFy-20210913-174446_skor,2021-09-13 15:44:10,34.496,0,0,3
167,https://dps.report/nkHY-20210913-174309_skor,2021-09-13 15:42:02,64.089,0,0,3
168,https://dps.report/Q2zC-20210913-174136_skor,2021-09-13 15:40:29,65.265,1,0,3
169,https://dps.report/5EvY-20210913-173810_skor,2021-09-13 15:36:55,73.276,0,0,3
170,https://dps.report/thr2-20210913-173955_skor,2021-09-13 15:38:40,72.883,1,0,3
171,https://dps.report/fjyB-20210913-173438_skor,2021-09-13 15:34:17,19.17,0,0,3
172,https://dps.report/JOWr-20210913-173622_skor,2021-09-13 15:35:10,69.148,1,0,3
173,https://dps.report/tCZ9-20210913-172935_skor,2021-09-13 15:29:00,32.963,0,0,3
174,https://dps.report/vYAI-20210913-173236_skor,2021-09-13 15:31:18,75.78,0,0,3
177,https://dps.report/lrrS-20210913-181404_skor,2021-09-13 16:12:23,73.136,1,1,3
178,https://dps.report/juA3-20210913-191138_skor,2021-09-13 17:10:25,70.074,1,0,3
179,https://dps.report/73KN-20210913-191342_skor,2021-09-13 17:12:13,71.86,0,1,3
180,https://dps.report/pCN3-20210913-190959_skor,2021-09-13 17:09:37,19.778,1,0,3
